Player Name,Player Team,Position,Average ADP,ADP Count,Min ADP,Max ADP,Draft Position,Round,Pick and Round,User Pick
Christian McCaffrey,SF,RB,1.3225,3.0,1.01,1.5,1,1,1.1,
CeeDee Lamb,DAL,WR,1.9024999999999999,3.0,1.04,3.57,2,1,1.2,
Tyreek Hill,MIA,WR,2.575,3.0,1.03,3.27,3,1,1.3,
Breece Hall,NYJ,RB,4.258333333333334,4.0,1.03,5.5,4,1,1.4,
Bijan Robinson,ATL,RB,4.836666666666666,4.0,1.05,6.47,5,1,1.5,
Ja'Marr Chase,CIN,WR,5.1875,3.0,1.07,6.68,6,1,1.6,
Justin Jefferson,MIN,WR,5.598333333333333,4.0,1.08,10.0,7,1,1.7,
Amon-Ra St. Brown,DET,WR,6.341666666666667,4.0,1.06,7.5,8,1,1.8,
Jonathan Taylor,IND,RB,8.481666666666667,4.0,1.1,10.79,9,1,1.9,
Saquon Barkley,PHI,RB,8.765,4.0,1.12,12.47,10,1,1.10,
A.J. Brown,PHI,WR,8.863333333333333,4.0,1.11,11.07,11,1,1.11,
Jahmyr Gibbs,DET,RB,9.9825,3.0,1.1,14.83,12,1,1.12,x
Garrett Wilson,NYJ,WR,10.911666666666665,4.0,1.12,14.35,13,2,2.1,x
Puka Nacua,LAR,WR,11.44,3.0,2.01,15.75,14,2,2.2,
Kyren Williams,LAR,RB,13.256666666666668,4.0,2.03,18.01,15,2,2.3,
Travis Etienne,JAC,RB,14.695,3.0,2.06,22.72,16,2,2.4,
Davante Adams,LV,WR,15.185,3.0,2.08,22.66,17,2,2.5,
Marvin Harrison Jr.,ARI,WR,15.469999999999999,4.0,2.03,21.79,18,2,2.6,
Derrick Henry,BAL,RB,15.926666666666666,4.0,2.04,20.5,19,2,2.7,
Travis Etienne Jr.,JAC,RB8,16.0,1.0,16.0,16.0,20,2,2.8,
Devon Achane,MIA,RB,16.09,2.0,2.1,30.08,21,2,2.9,
Patrick Mahomes,KC,QB,18.51,3.0,3.08,28.45,22,2,2.10,
Isiah Pacheco,KC,RB,19.215,4.0,2.08,24.5,23,2,2.11,
Josh Allen,BUF,QB,19.494999999999997,4.0,3.03,27.44,24,2,2.12,
